Word1	Word2	Score
paiskata	julkaista	0.871377164
sutata	ladata	1.398640973
asetella	asettaa	0.595641149
tarkistaa	etsiä	1.29767037
levittää	pyörittää	0.874950048
lähettää	jakaa	1.193986677
vetää	pitää päällä	1.491222451
laittaa	käsitellä	0.840121869
toimittaa	siistiä	1.237729933
kierrättää	ladata	1.118344254
lingota	heiluttaa	0.529807921
järjestää	haudata	1.261970375
ravistella	sutata	1.079366004
täyttää	kiinnittää	1.167130953
vetää	asettaa	1.059769387
avata	saada kiinni	0.976627086
levittää	venytellä	0.911077153
ottaa	kastella	1.053998809
löysätä	ottaa	1.220804418
käsitellä	trimmata	1.113168094
peittää	nostaa	0.841422725
asentaa	täyttää	0.947573141
aurata	liittää	1.086868217
lisätä	etsiä	1.147046107
peittää	piilottaa	0.64906774
pitää päällä	asetella	1.522152191
ottaa	nostaa	0.890357373
ottaa	kutoa	0.790311605
asentaa	etsiä	1.106190385
jakaa	sulkea	1.011708416
lingota	kastella	0.954197836
pestä	tarkistaa	0.992833034
kastella	käsitellä	1.107824494
trimmata	sitoa	1.10794854
kiskoa	peittää	0.96679174
kaataa	täyttää	0.976568627
riisua	täyttää	1.086592344
murskata	jakaantua	0.650528952
jakaantua	kehystää	0.967972552
kaataa	venyttää	1.12962006
keinuttaa	osoittaa	0.872133911
ohjata	kiinnittää	0.952882489
tarkistaa	katkaista	0.709601989
heittää	suunnata	0.739328527
kiskoa	tarkistaa	0.765236177
osoittaa	piilottaa	1.167113178
kierrättää	piiloutua	1.092542752
riisua	venytellä	0.686464837
järjestää uudelleen	sutata	1.275195046
kiinnittää	asentaa	0.75595805
järjestää	trimmata	1.258861842
vetää	ottaa	1.18035716
erottaa	valmistaa	0.964132588
halkaista	jakaantua	0.23606814
halkaista	löysätä	0.761794194
tulostaa	nostaa	1.130183246
julkaista	leimata	0.8215002
löysätä	kietoa	0.962980814
sulkea	osoittaa	1.007587994
tyhjentää	nostaa	1.286509866
ottaa	jakaa	1.30685375
liittää	pitää päällä	1.484454132
kaataa	heittää	0.840642103
hinata	tarkistaa	0.827077854
trimmata	kiskoa	1.161362046
siistiä	kierrättää	1.123985984
liittää	irrottaa	0.818257397
kaataa	venytellä	1.1555055
kastella	levittää	1.001424111
kierrättää	heittää	0.783329208
lisätä	järjestää uudelleen	0.730274986
venytellä	kaivaa	0.941092747
