Word1	Word2	Score
sumentaa	tapahtua	0.667150518
raapustaa	piirtää	0.498198929
omistaa	tienata	0.707415176
määrittää	tietää	0.845937389
tulla	hypätä	0.842729266
lentää	riippua	0.86035637
muistaa	selventää	1.182090521
tallettaa	korvata	0.867813107
aikoa	perustella	1.161665899
keinua	mennä	0.855591638
toimittaa	siistiä	1.237729933
vaatia	keskeyttää	1.195612566
heilahtaa	pomppia	0.610685998
ilmoittaa	kikattaa	1.0001818
tuijottaa	aivastaa	1.140594061
synnyttää	haista	1.249504457
anoa	evätä	1.20487743
paloitella	taistella	0.842384458
nyppiä	naputtaa	1.231853679
merkitä	yrittää	1.269955619
puhjeta	vaihdella	1.067789297
kutsua	raakkua	0.901008907
informoida	rukoilla	0.943703438
haukotella	informoida	1.165698503
nostaa lasi	antaa anteeksi	0.941039763
nuolla	kuulla	1.110326707
odottaa	pohtia	1.025352602
peittää	nostaa	0.841422725
asentaa	täyttää	0.947573141
huutaa	helistää	0.998408458
roikkua	luikerrella	1.145270557
ostaa	vaihtaa	1.066530931
hajottaa	lipsahtaa	0.898191212
itkeä	rentoutua	1.062461312
peittää	piilottaa	0.64906774
imaista	paloitella	1.029950048
pitää päällä	asetella	1.522152191
salametsästää	rangaista	1.075045012
lingota	kastella	0.954197836
asettua aloilleen	vaeltaa	0.958386971
kontrolloida	huijata	1.091202435
käpertyä	liftata	1.241685263
kiskoa	peittää	0.96679174
kunnioittaa	siunata	0.796578756
kuvata	räpätä	0.840818487
hypätä yli	pomppia	0.62509207
murskata	jakaantua	0.650528952
mennä läpi	hiipiä	0.902305642
kaataa	venyttää	1.12962006
ohjata	kiinnittää	0.952882489
hauduttaa	maistaa	0.907088531
merkitä	laskea	1.157433819
antaa anteeksi	rauhoittaa	1.43434255
kutoa	pitää paussi	1.027727819
erottaa	korruptoida	0.858872161
itkeä	kuulua	0.915108986
katsella	yllättää	0.934867629
kaapata	tehdä tyhjäksi	1.293143014
tupsahtaa	lentää	0.987354708
sattua	hangata	0.908620203
harjoittaa	kiillottaa	1.209886604
pidättäytyä	varastaa	1.110795486
lukea	määritellä	0.894559423
halkaista	löysätä	0.761794194
siunata	käsitellä	1.085322812
löysätä	kietoa	0.962980814
upottaa	laittaa	0.801350688
suositella	anoa	0.692832484
puhjeta	pienentyä	1.250622817
kutsua	toistaa	1.07623745
puhua	napsahtaa	1.300073709
informoida	ilmoittaa	0.24597122
kohdata	määrätä	0.951977718
pidättyä	nolata	1.336777283
aivastaa	kiljua	0.968848617
kutistua	nähdä nälkää	0.768987094
ratkaista	analysoida	0.854773119
