abduct1	siepata
abduct2	ryöstää
abstain	pidättyä
abuse	pahoinpidellä
accelerate	kiihdyttää
accept	hyväksyä
accomplish	saavuttaa
accumulate	kerätä
accuse	syyttää
ache	särkeä
achieve	saavuttaa
acknowledge1	tunnustaa
acknowledge2	huomata
acquire	hankkia
acquit	vapauttaa
add	lisätä
address	osoittaa
adjourn	lykätä
admire	ihailla
admit	myöntää
adopt	hyväksyä
adore	ihailla
adorn	kaunistaa
advance	edetä
advise	neuvoa
affect	vaikuttaa
aggravate	pahentaa
agree	olla samaa mieltä
aid	auttaa
aim	tavoitella
allow1	antaa
allow2	sallia
alter	muuttaa
amaze	hämmästyttää
amuse	huvittaa
analyze	analysoida
angle	suunnata
annihilate	tuhota
announce	ilmoittaa
annoy	ärsyttää
appear	ilmestyä
apply	hakea
approach	lähestyä
approve	hyväksyä
argue1	kiistellä
argue2	väitellä
arrest	pidättää
arrive	saapua
ascend	nousta
ask	kysyä
assault	pahoinpidellä
assist1	avustaa
assist2	auttaa
associate1	liittää
associate2	yhdistää
assume	olettaa
attach	liittää
attack	hyökätä
attempt	yrittää
attend1	osallistua
attend2	käydä
attract	vetää puoleensa
avoid	välttää
awake	herättää
award	palkita
bake1	leipoa
bake2	paistaa
ban	kieltää
bargain	tinkiä
barter	vaihtaa
be	olla
bear1	kantaa
bear2	sietää
beat1	voittaa
beat2	hakata
become	tulla
beg1	rukoilla
beg2	kerjätä
begin	aloittaa
believe	uskoa
belong	kuulua
bend3	taivuttaa
bend1	taipua
bend2	taivuttaa
bet	lyödä vetoa
betray	pettää
beware	olla varuillaan
bias	vaikuttaa
bite	purra
blame	syyttää
bleach	valkaista
blend	sekoittaa
bless	siunata
block	estää
blow	puhaltaa
bluff	hämätä
blur1	sumentaa
blur2	hämärtää
blush	punastua
boil	keittää
boom	jyristä
boost	edistää
borrow	lainata
bother	vaivata
bounce1	hyppiä
bounce2	pomppia
bound1	rajata
bound2	hyppiä
bow	kumartaa
break1	katkaista
break2	rikkoa
break3	hajottaa
breathe	hengittää
breed1	synnyttää
breed2	astuttaa
bring	tuoda
broil	paahtaa
brush	harjata
build	rakentaa
bumble	mutista
bump	kolahtaa
burn	polttaa
burst	räjähtää
bury	haudata
buy	ostaa
buzz1	pyöriä
buzz2	vilistä
calculate	laskea
call1	soittaa
call2	kutsua
capitulate	antautua
capture1	kaapata
capture2	saada kiinni
care1	hoitaa
care2	huolehtia
carry	kantaa
cast	heittää
catch	saada kiinni
celebrate	juhlia
certify	todistaa
change	vaihtaa
charge1	laskuttaa
charge2	ladata
charge3	nostaa syyte
chase	ajaa takaa
cheat1	huijata
cheat2	pettää
chew	pureskella
chirp	visertää
choke	tukehtua
choose	valita
chop1	paloitella
chop2	leikata
chuck	heittää
claim1	vaatia
claim2	väittää
clarify1	selvittää
clarify2	selventää
clench	tarttua lujasti
climb	kiivetä
collaborate	tehdä yhteistyötä
collect	kerätä
color	värittää
combine	yhdistää
come	tulla
comfort	lohduttaa
command	komentaa
commit	sitoutua
communicate	kommunikoida
compete	kilpailla
complain	valittaa
compose1	laatia
compose2	säveltää
compound	yhdistää
comprehend1	ymmärtää
comprehend2	käsittää
compute	laskea
concentrate	keskittyä
concern1	liittyä
concern2	koskea
concur	yhtyä
condemn	tuomita
confess	tunnustaa
confuse1	sekoittaa
confuse2	hämätä
connect	yhdistää
conquer1	valloittaa
conquer2	voittaa
console	lohduttaa
conspire	vehkeillä
construct	rakentaa
control1	ohjata
control2	kontrolloida
convince	vakuuttaa
cook1	kokata
cook2	laittaa ruokaa
cooperate	tehdä yhteistyötä
cope	selviytyä
correct	korjata
corrupt1	korruptoida
corrupt2	tuhota
cough	yskiä
count	laskea
cover	peittää
crack1	rusahdella
crack2	luhistua
crackle1	rasahtaa
crackle2	ratista
crash1	romahtaa
crash2	rikkoa
crave	haluta
crawl	ryömiä
create	luoda
criticize	kritisoida
croak1	raakkua
croak2	kurnuttaa
crochet	virkata
cruise1	risteillä
cruise2	ajaa
crunch	murskata
crush1	rikkoa
crush2	murskata
cry1	itkeä
cry2	huutaa
cuddle1	halata
cuddle2	halailla
damn	kirota
dance	tanssia
dare1	haastaa
dare2	uskaltaa
dare3	yllyttää
dash1	rynnätä
dash2	pinkaista
deal1	jakaa
deal2	antaa
debate	väitellä
decay1	rappeutua
decay2	lahota
deceive	pettää
decide	päättää
decline1	kieltäytyä
decline2	kieltää
decompose	hajottaa
decorate	koristella
decrease	vähentää
dedicate	omistaa
defeat	voittaa
defend	puolustaa
define	määritellä
defrost1	sulaa
defrost2	sulattaa
degrade1	hajota
degrade2	hajottaa
delay1	viivästyttää
delay2	lykätä
deliver1	jakaa
deliver2	toimittaa
demand	vaatia
