Word1	Word2	Score
tukahduttaa	rikkoa	1.026498596
luvata	nolata	1.312332101
nähdä	sallia	0.856778888
sekoittaa	grillata	0.765673571
leipoa	sammuttaa	1.170930224
hylätä	juovuttaa	1.089441961
räjähtää	loihtia	1.281444587
räpätä	nyyhkyttää	1.284525345
kertoa	poksauttaa	1.198452825
huuhdella	sulattaa	1.032436915
pahentaa	pettää	1.007975316
siunata	käsitellä	1.085322812
haluta	halveksia	1.319601988
hoitaa	vakuuttaa	0.932412859
rasahtaa	keskustella	1.375845064
kohdata	nolata	1.116950869
tuupata	rikkoa	1.201774841
vastata	ilmoittaa	0.694802818
paloitella	taistella	0.842384458
riippua	omistautua	0.759645344
nyppiä	naputtaa	1.231853679
lorvailla	suostutella	0.981652671
jyristä	toistaa	1.038345346
hyräillä	nauraa	0.832086415
nostaa lasi	suudella	1.011162149
harjata	läimäyttää	1.193395729
kohdella	riippua	0.763971221
hylätä	mulkoilla	1.25862951
nostaa lasi	antaa anteeksi	0.941039763
puukottaa	kukistaa	1.055946249
armahtaa	liittyä	0.8792067
itkeä	jyristä	1.168248381
helistää	hyräillä	0.858035913
laittaa ruokaa	kastaa	0.863215017
huutaa	helistää	0.998408458
vaatia	viihdyttää	0.867231402
kohdata	juhlia	0.976727043
neuvoa	menettää	0.975364514
sallia	avustaa	0.852138871
tehdä yhteistyötä	nähdä	0.987890663
imaista	paloitella	1.029950048
varoittaa	rusahdella	1.147036887
kiusoitella	jättää huomiotta	0.803790328
läimäyttää	lyödä	0.32669184
karjua	selvittää	0.906982525
raastaa	ruiskuttaa	0.975902974
kiljua	taputtaa	0.77576569
hävittää	tuupata	0.886666863
taivuttaa	hangata	1.134018457
anoa	liittyä seuraan	0.976025869
ryystää	ripotella	1.316777528
kunnioittaa	siunata	0.796578756
mulkoilla	röykyttää	1.051860072
kolahtaa	visertää	1.139780109
osallistua	halata	0.899601333
puhaltaa pilliä	keskustella	0.996445945
hauduttaa	maistaa	0.907088531
myöntää	ylentää	1.024729727
antaa anteeksi	rauhoittaa	1.43434255
nostaa lasi	jäädyttää	1.311817562
vaatia	keskeyttää	1.195612566
hukuttaa	tapella	0.866928141
erottaa	korruptoida	0.858872161
tehdä yhteistyötä	suositella	0.702664752
haltioitua	hämmästyttää	1.029577174
soittaa	räjähtää	1.122995252
viipaloida	ruiskuttaa	0.858177056
mulkoilla	vaivata	0.778874806
sattua	hangata	0.908620203
nostaa lasi	suojella	1.128498545
motkottaa	räpätä	1.00936544
hämätä	nöyryyttää	1.134751584
puhaltaa	helistää	0.995264014
osoittaa mieltään	kurnuttaa	0.885446125
ottaa mukaan	kohdata	0.647366568
riippua	luvata	0.897606577
hajota	liittyä	1.201303299
palvella	lorvailla	1.100022981
kutsua	toistaa	1.07623745
puhua	napsahtaa	1.300073709
raastaa	imeä	1.095900605
mutista	niiskuttaa	0.885421812
olla samaa mieltä	kohdella	1.04297275
poksauttaa	kirota	1.33790044
pidättyä	nolata	1.336777283
jättää välistä	huumata	1.066812129
olla eri mieltä	lorvailla	1.02630544
omistautua	ylentää	0.634200293
mennä naimisiin	kohdella	1.148963252
määrätä	syyttää	0.877115147
paistaa	vuotaa yli	0.974747195
ampua	pahoinpidellä	0.937446062
herättää	lohduttaa	1.06863081
neuvoa	luvata	0.964795604
nostaa lasi	huolehtia	1.108586691
valloittaa	hyökätä	0.76762952
suojella	tervehtiä	0.817344831
olla tunnustamatta	pidättyä	0.831791355
kiusata	laiminlyödä	0.970058597
sisältää	hajota	1.018893459
hyräillä	aivastaa	1.214876598
osua	nyppiä	0.729785782
motkottaa	laulaa	1.037061863
johtaa	luvata	0.922283681
hoilata	puhaltaa pilliä	0.575830389
luottaa	omistautua	0.711973531
kohdata	puolustaa	1.047891027
viipaloida	paahtaa	0.63447141
nuhdella	kiusoitella	0.852882981
arvostella	lannistaa	0.66194103
kiljua	puhaltaa	0.832359654
haukotella	raakkua	1.185304964
sivuuttaa	rikkoa	0.867246292
välttää	kiusata	1.209474393
nuolla	puristaa	1.066059017
syöttää	juoda	0.879682887
kolahtaa	yskiä	1.342749961
karjua	haukotella	0.977650445
nöyryyttää	haitata	0.90371266
yhdistää	vakuuttaa	0.922431633
armahtaa	vannoa	0.939652086
pidättyä	vaivata	1.291975546
herättää	avustaa	0.926841957
haitata	loukata	0.874404095
nauttia	vihata	1.422307072
seurata	välittää	0.812964411
sekoittaa	paistua	0.878716938
räpätä	helistää	0.97946107
mutista	jyristä	0.865115201
ottaa mukaan	menettää	1.059155815
hauduttaa	keittää	0.633009324
selvittää	motkottaa	1.037311464
jauhaa	tupakoida	0.981027772
hämätä	vaivata	1.038446128
kunnioittaa	sallia	1.010401976
lorvailla	yhtyä	1.171480153
nuhdella	alentaa	0.677989892
paloitella	juovuttaa	1.07315803
dominoida	kukistaa	0.462425429
pitää	naputtaa	1.384911187
ratista	helistää	0.662122303
nostaa lasi	juoda	1.198526163
rasittaa	arvostella	1.194071618
vastata	haukotella	1.164362386
panetella	siunata	1.503420021
valehdella	nuhdella	1.103874394
ampua	dominoida	1.375097033
erottaa	vastustaa	1.146526287
karttaa	mulkoilla	1.219691343
hyräillä	hoilata	0.501238239
kertoa	kutsua	0.813430602
erota	käsitellä	1.023750809
väitellä	tervehtiä	0.776100838
viettää	halailla	0.765184768
seurata	antaa	1.068612151
juovuttaa	hämätä	0.800967006
ihailla	itkeä	1.070202936
purkaa	kutittaa	1.097315537
ampua	lyödä	0.96857921
huolehtia	mennä naimisiin	0.801023761
kastaa	sulattaa	0.921410129
nipistää	naputtaa	1.051823629
vierailla	yhdistää	0.976607029
ruiskuttaa	ahmia	1.180440738
itkeä	kitistä	0.585891553
pureskella	laittaa ruokaa	0.905301594
riippua	antaa	0.904325037
osallistua	kohdella huonosti	1.154318084
ottaa mukaan	turvata	0.732807511
siemailla	viipaloida	1.084146961
käsitellä	omistautua	1.274714869
poksauttaa	painaa	0.928898645
ahmia	kastaa	1.061896957
tahrata	välttää	1.01886273
hakata	dominoida	0.955784009
viettää	liittyä seuraan	0.881239745
sisältää	edistää	0.77133672
haitata	määrätä	0.949913743
kiusata	vannoa	1.148478628
vaatia	kiusoitella	1.411127767
tavoittaa	suojata	0.957370855
jauhaa	imaista	0.944450981
halata	kietoa	0.573912798
