abduct	sequestrare
abstain	astenersi
abuse	abusare
accelerate	accelerare
accept	accettare
accomplish	compiere
accumulate	accumulare
accuse	accusare
ache	dolere
achieve	realizzare
acknowledge	riconoscere
acquire	acquisire
acquit	assolvere
add	aggiungere
address1	rivolgersi
address2	indirizzare
adjourn	rinviare
admire	ammirare
admit	ammettere
adopt	adottare
adore	adorare
adorn	adornare
advance	avanzare
advise	consigliare
affect1	riguardare
aggravate1	aggravare
agree	accordarsi
aid	soccorrere
aim	mirare
allow	consentire
alter	alterare
amaze	meravigliare
amuse	divertire
analyze	analizzare
angle	inclinare
annihilate	annientare
announce	annunciare
annoy1	infastidire
annoy2	seccare
appear	apparire
apply	applicare
approach	avvicinarsi
approve	approvare
argue1	argomentare
argue2	litigare
arrest	arrestare
arrive	arrivare
ascend1	ascendere
ask	chiedere
assault	aggredire
assist	assistere
associate	associare
assume	assumere
attach	allegare
attack	assalire
attempt	tentare
attend	presenziare
attract	attirare
avoid	evitare
awake	svegliarsi
award	conferire
bake1	infornare
bake2	cuocere al forno
ban	interdire
bargain	mercanteggiare
barter	barattare
be	essere
bear	sopportare
beat1	battere
beat2	picchiare
become	diventare
beg	implorare
begin	cominciare
believe	credere
belong	appartenere
bend	piegare 
bet	scommettere
betray	tradire
beware	badare
bias	influenzare
bite	mordere
blame	incolpare
bleach	candeggiare
blend	amalgamare
bless	benedire
block	bloccare
blow	soffiare
bluff	bluffare
blur	annebbiare
blush	arrossire
boil	bollire
boom	rombare
boost	incentivare
borrow	mutuare
bother	importunare
bounce	rimbalzare
bound	balzare
bow	inchinarsi
break	rompere
breathe	respirare
breed1	allevare
breed2	riprodursi
bring	portare
broil	arrostire
brush1	sfiorare
brush2	spazzolare
build1	erigere
bumble	impappinarsi
bump	urtare
burn	bruciare
burst	scoppiare
bury	seppellire
buy	comprare
buzz	ronzare
calculate	calcolare
call	chiamare
capitulate	capitolare
capture	catturare
care2	interessarsi
carry2	trasportare
cast1	lanciare
catch2	acchiappare
celebrate1	celebrare
celebrate2	festeggiare
certify	certificare
change	cambiare
charge1	caricare
charge2	addebitare
chase	inseguire
cheat	imbrogliare
chew	masticare
chirp	cinguettare
choke2	strangolare
choose	scegliere
chop1	tagliare
chop2	tritare
chuck	buttare
claim1	rivendicare
claim2	sostenere
clarify	chiarire
clench	serrare
climb1	salire
climb2	arrampicarsi
collaborate	collaborare
collect	raccogliere
color	colorare
combine	combinare
come	venire
comfort	confortare
command	comandare
commit	commettere
communicate	comunicare
compete	competere
complain	lamentarsi
compose	comporre
compound1	costituire
compound2	peggiorare
comprehend	comprendere
compute	computare
concentrate1	concentrarsi
concentrate2	concentrare
concern2	preoccupare
concur	concordare
condemn	condannare
confess	confessare
confuse	confondere
connect	connettere
conquer	conquistare
console	consolare
conspire	cospirare
construct	costruire
control	controllare
convince	convincere
cook1	cucinare
cook2	cuocere 
cooperate	cooperare
cope	fronteggiare
correct	correggere
corrupt	corrompere
cough	tossire
count	contare
cover	coprire
crack	incrinarsi
crackle	crepitare
crash1	crollare
crash2	scontrarsi
crave	bramare
crawl2	gattonare
create	creare
criticize	criticare
croak	gracidare
crochet	lavorare all'uncinetto
cruise	girare
crunch	sgranocchiare
crush	schiacciare
cry1	piangere
cuddle	coccolare
damn	dannare
dance	ballare
dare	osare
dash1	precipitarsi
deal	distribuire
debate	dibattere
decay2	marcire
deceive	ingannare
decide	decidere
decline2	calare
decompose	decomporsi
decorate	decorare
decrease	decrescere
dedicate	dedicare
defeat	sconfiggere
defend	difendere
define	definire
defrost	scongelare
degrade	degradare
delay	ritardare
deliver	consegnare
demand	esigere
demolish	demolire
deny	negare
depart	partire
depend	dipendere
deposit	depositare
descend	scendere
describe	descrivere
design	progettare
desire	desiderare
despair	disperare
despise	disprezzare
destroy1	distruggere
detach	staccare
deteriorate	deteriorarsi
determine	determinare
develop	sviluppare
devote	dedicare
die	morire
differ	differire
dig	scavare
diminish	diminuire
dip	immergere
direct	dirigere
disagree	dissentire
disallow	impedire
disappear	scomparire
disappoint	deludere
disbelieve1	non credere
discharge1	scaricare
discharge2	rilasciare
discourage	scoraggiare
discover	scoprire
discuss	discutere
disguise	travestire
disgust	disgustare
disintegrate	disintegrarsi
dislike	detestare
dismay	sgomentare
dismiss1	scartare
dismiss2	licenziare
disown	rinnegare
disperse	disperdere
dispose	disporre
disprove	confutare
disregard	trascurare
dissolve	sciogliere
disturb	disturbare
dive	tuffarsi
divide	dividere
do	fare
dominate	dominare
doubt	dubitare
doze	dormicchiare
drag	trascinare
drain	scolare
draw1	disegnare
drench	inzuppare
drift	derivare
drink	bere
drip	sgocciolare
drive	guidare
drown	annegare
duck	abbassarsi
dump	buttare
dunk	ammollare
duplicate	duplicare
earn	guadagnare
educate	educare
elect	eleggere
embarrass	imbarazzare
embrace	abbracciare
encourage	incoraggiare
enforce1	attuare
engage1	coinvolgere
enjoy	godere
enrage	inferocire
ensure	garantire
enter	entrare
entertain	intrattenere
erode	erodere
erupt	eruttare
escape	scappare
evacuate	evacuare
evaluate	valutare
evict	sfrattare
examine	esaminare
exceed	eccedere
excel	eccellere
exchange	scambiarsi
excuse	scusare
exhale	esalare
exist	esistere
explain	spiegare
explode	esplodere
exploit	sfruttare
express	esprimere
face	fronteggiare
fade	sbiadire
fail	fallire
fall	cadere
fasten2	allacciare
feed	nutrire
feel	sentire
fight	combattere
fill	riempire
find	trovare
finish	finire
fit	aggiustare
fix1	fissare
fix3	sistemare
flap	sbattere
flash	lampeggiare
flee	fuggire
flex	flettere
fling	scagliare
flip	rivoltare
float	galleggiare
flow	fluire
flush2	arrossire
flutter	svolazzare
fly	volare
foil	sventare
fold	ripiegare
follow	seguire
forbear	astenersi
forbid	vietare
forget	dimenticare
forgive	perdonare
frame	inquadrare
free	liberare
freeze	congelare
frighten	impaurire
frustrate	frustrare
fry	friggere
gain	guadagnare
gamble1	azzardare
gather	radunare
get	ottenere
giggle	ridacchiare
give	dare
glance	dare un'occhiata
glare	splendere
glide	planare
glow	risplendere
go	andare 
grab	agguantare
graduate	laurearsi
grant	concedere
grasp2	impugnare
grate	grattugiare
graze	pascolare
greet	salutare
grill	grigliare
grind	macinare
grow	crescere
guess	indovinare
gulp	deglutire
hamper	ostacolare
handle	maneggiare
hang	pendere
happen	succedere
hatch	schiudersi
hate	odiare
haul	trainare
haunt	perseguitare
have	avere
heal	guarire
hear	udire
help	aiutare
hesitate	esitare
hide	nascondere
hike1	fare un'escursione
hit	colpire
hitch	agganciare
hold	tenere
holler	gridare
hoot	gufare
hop	saltellare
hope	sperare
hug	stringere
hum2	canticchiare
humiliate	umiliare
hunt	cacciare
hurry	sbrigarsi
hurt	ferire
hustle2	spintonare
hypnotize	ipnotizzare
ignore	ignorare
imagine	immaginare
imitate	imitare
impersonate	impersonare
implode	implodere
impose	imporre
incline	inclinare
include	includere
increase	aumentare
inform	informare
inhale	inalare
inquire	informarsi
inspect	ispezionare
instruct	istruire
insult	insultare
insure	assicurare
integrate	integrare
intend	intendere
interrupt	interrompere
intoxicate	intossicare
introduce	introdurre
invalidate	infirmare
invent	inventare
invite	invitare
involve	coinvolgere
irritate	irritare
jerk	strattonare
jog2	fare jogging
join1	unirsi
join2	collegare
judge	giudicare
jump	saltare
justify	giustificare
keep1	tenere
keep2	mantenere
kick	calciare
kidnap	rapire
kill	uccidere
kiss	baciare
kneel	inginocchiarsi
knit	sferruzzare
knock	bussare
know1	sapere
know2	conoscere
laugh	ridere
launch2	varare
lay	posare
lead	condurre
lean1	appoggiarsi
lean2	inclinarsi
leap2	balzare
learn	imparare
leave	lasciare
lend	prestare
let	permettere
lick	leccare
lie	mentire
lift	sollevare
like	gradire
limit	limitare
limp	zoppicare
listen	ascoltare
litter1	mettere in disordine
litter2	sporcare
live	vivere
look	guardare
loosen	allentare
lose	perdere
lounge	poltrire
lower	abbassare
magnify	ingrandire
make2	produrre
manage	gestire
marry	sposare
matter	importare
mean	significare
meet	incontrare
melt2	fondere
mend2	rammendare
mimic2	scimmiottare
mind2	dispiacere
miss	mancare
misspend	sperperare
mistreat	maltrattare
mix	mischiare
move2	muoversi
move3	muovere
mow	falciare
multiply	moltiplicare
munch	sgranocchiare
nag	assillare
nap	pisolare
need	necessitare
neglect	tralasciare
notify	notificare
nullify	annullare
obey	obbedire
object	opporsi
observe	osservare
obtain	ottenere
offend	offendere
operate	operare
organize	organizzare
originate	provenire
outnumber	prevalere
overcome1	superare
overcome2	sopraffare
overflow	traboccare
overpower	sopraffare
overwhelm	soverchiare
own	possedere
paint	dipingere
pardon2	graziare
participate	partecipare
pass	passare
pat	picchiettare
pause	fermarsi
pay	pagare
pelt	bombardare
perceive	percepire
perform1	eseguire
perform3	recitare
perish	perire
permit	permettere
perspire2	traspirare
persuade	persuadere
pick2	cogliere
pinch	pizzicare
play1	giocare
play2	suonare 
plead	supplicare
please	compiacere
plow	arare
pluck3	spennare
poach1	cuocere in camicia
poise	equilibrare
polish	lucidare
ponder2	ponderare
pop1	schioccare
pop2	scoppiare
portray	raffigurare
possess	possedere
pounce1	avventarsi
pour	versare
practice1	praticare
practice2	esercitarsi
pray	pregare
predict	prevedere
prefer	preferire
prepare	preparare
press	premere
presume	presumere
pretend	fingere
preview2	presentare
prick	pungere
print	stampare
produce	produrre
prohibit	proibire
promise	promettere
promote	promuovere
prosecute	perseguire
prosper	prosperare
protect	proteggere
protest	protestare
prove	dimostrare
pull	tirare
punch2	perforare
punish	punire
purchase	acquistare
push	spingere
put	mettere 
quench	estinguere
raise	alzare
rap1	bussare
rap2	battere
rationalize1	razionalizzare
rattle	sferragliare
reach	raggiungere
read	leggere
realize1	accorgersi
reap2	mietere
reappear	riapparire
rearrange	riordinare
rebel	ribellarsi
recall3	richiamare
receive	ricevere
recommend	raccomandare
recruit1	reclutare
recycle	riciclare
reduce	ridurre
reel1	vacillare
reflect	riflettere
refrain	trattenersi
refuse	rifiutare
register	registrare
regret	rimpiangere
reject2	respingere
rejoice	gioire
relax1	rilassarsi
relax2	rilassare
release	rilasciare
rely	contare su
remain	rimanere
remark	rimarcare
remember	ricordare
remind	rammentare
remove	rimuovere
renounce	rinunciare
repair	riparare
repeat	ripetere
replace	sostituire
reply2	replicare
repress	reprimere
reprimand	rimproverare
reproduce	riprodurre
request	richiedere
rescue	salvare
reserve	riservare
respect	rispettare
respond	rispondere
restore	ripristinare
restrict	restringere
result	risultare
retain	conservare
retire2	andare in pensione
retreat1	ritirarsi
retreat2	indietreggiare
return1	ritornare
return2	restituire
review1	rivedere
review2	recensire
ride	cavalcare
ridicule	ridicolizzare
rinse	sciacquare
rip2	lacerare
rise2	alzarsi
risk	rischiare
roam	girovagare
roar	ruggire
rob	rapinare
rub	strofinare
run	correre
rush	affrettarsi
salute	salutare
save2	risparmiare
say	dire
scare	spaventare
scold	sgridare
scramble2	inerpicarsi
scratch	graffiare
scream1	urlare
scream3	strillare
scribble	scarabocchiare
search	cercare
secure1	garantire
secure2	assicurare
see	vedere
seek2	ricercare
seem	sembrare
seize1	sequestrare
seize2	afferrare
select	selezionare
sell	vendere
send	mandare 
separate	separare
serve	servire
set2	stabilire
settle3	stabilirsi
sew	cucire
shake	scuotere
shatter	frantumare
shift	spostare
shine	brillare
shiver	tremare
shoot	sparare
shove	spintonare
show	mostrare
shrink	restringersi
shuffle1	mescolare
shuffle2	mischiare
shun	scansare
shut	chiudere
sing	cantare
sink	affondare
sip	sorseggiare
sit	sedere
skip	salterellare
slap	schiaffeggiare
slay	ammazzare
slice	affettare
slide2	slittare
slip	scivolare
slither	strisciare
slurp	bere rumorosamente
smash	spaccare
smear	spalmare
smell	odorare
smoke	fumare
smother	soffocare
smudge	sbaffare
snap	schioccare
snatch1	afferrare
snatch2	agguantare
sneak	intrufolarsi
sneeze	starnutire
sniff	annusare
snooze	sonnecchiare
snore	russare
snuggle	coccolare
soak	inzuppare
soar2	sollevarsi
sob	singhiozzare
solve	risolvere
soothe	lenire
sow	seminare
spank	sculacciare
spare	risparmiare
spawn1	deporre uova
spawn3	generare
speak	parlare
spell	compitare
spend1	trascorrere
spend2	spendere
spill	rovesciare
spin	girare
splash	schizzare
split	scindere
spoil2	guastare
sprain	slogare
spray	spruzzare
spread1	diffondere
spring	scattare
sprinkle	cospargere
squeak	squittire
squeal	stridere
squeeze	spremere
squint	sbirciare
stab	pugnalare
stain	macchiare
stamp	timbrare
stand1	stare in piedi
stare	fissare
start	iniziare
starve1	affamare
starve2	morire di fame
stay	restare
steal	rubare
steer	pilotare
stew	stufare
sting	pungere
stink	puzzare
stir	mescolare
stop1	fermare
stop2	smettere
strain	sforzare
stray	deviare
stretch	allungare
strike2	percuotere
strip1	spogliare
strip2	spogliarsi
strive	sforzarsi
struggle2	lottare
study	studiare
stumble	inciampare
submit	sottoporre
subtract	sottrarre
succeed	riuscire
suck	succhiare
sue	querelare
suggest	suggerire
supply	fornire
suppose	supporre
surpass	sorpassare
surprise	sorprendere
survive	sopravvivere
suspect	sospettare
swallow	inghiottire
