Word1	Word2	Score
abbronzarsi	svegliare	1.1780324573160892
udire	riapparire	1.3332841783905205
dare un'occhiata	trovare	0.9848159764888106
tentare	licenziare	1.3053601969893551
capitolare	faticare	1.1644151809284677
singhiozzare	guarire	1.028606528774948
dare un'occhiata	ispezionare	0.6343910713356953
adorare	impaurire	1.300449659483006
risultare	svanire	1.0163712700657388
risplendere	dare un'occhiata	0.9686792446468468
frustrare	volere	1.1540701689129336
abbronzarsi	lacrimare	1.2391358479646386
gestire	istruire	0.8148718849280006
tagliare	affettare	0.26044963214234373
guarire	morire	1.2013459394768606
rilassare	sgranocchiare	1.0831176854103346
rompere	sbaffare	1.395726590922047
tritare	asciugare	1.0617807785209137
aggravare	interrompere	1.078991214434245
lenire	stancare	1.0356320646142223
coccolare	sculacciare	1.1519536808797686
promuovere	organizzare	0.6761287378473986
accelerare	cambiare	0.9226534368257184
desiderare	odiare	1.5110295056440355
bollire	mescolare	1.0916459236523934
scoprire	annusare	1.089656928616271
praticare	fronteggiare	0.8985546919850207
inalare	generare	0.8544424800762238
annegare	dormicchiare	1.2112267370960663
scontrarsi	ferire	0.832036049865914
mostrare	sembrare	0.9598910978838859
strappare	solleticare	1.1053908558030043
recitare	conquistare	1.102814883173966
inalare	tremare	0.9055865633015512
odorare	sbiadire	1.124152627389208
affettare	mescolare	0.8060265318969598
alterare	scoprire	1.2728833799720995
inferocire	sperare	1.2143980232993226
ascoltare	lampeggiare	0.9242408803745976
annegare	sopravvivere	1.13498370035883
sbadigliare	svenire	0.8372952075883189
frantumare	guastare	0.8418583977793825
macinare	tostare	1.0140330665461519
fumare	soffocare	0.6425153011478921
succhiare	esalare	0.8556077175332286
smettere	sfruttare	1.1957399153021524
annerire	rompere	1.2713496199959047
fallire	rischiare	0.9928458531160943
lavorare	sforzarsi	1.041004317671439
integrare	vincere	1.359097035876577
vincere	sorvegliare	1.1155544097668062
stancare	tossire	0.9776660299346872
eruttare	demolire	1.250729448448963
differire	cercare	1.067478527919777
infastidire	spaventare	0.7932468309998679
risultare	trovare	0.9293276884623834
incrinarsi	marcire	1.0015441371336589
eseguire	operare	0.5541989075369642
implodere	crollare	1.1530293544576526
odorare	impersonare	1.1673379065210208
incrinarsi	implodere	1.01229099577909
spremere	toccare	1.0156640427733312
tritare	sciacquare	1.1447450458289918
meravigliare	disperare	1.2639947185843101
diminuire	calare	0.26863438258812794
esercitarsi	operare	0.9129187329549732
rilassare	riprodursi	1.12558325789092
esercitarsi	vincere	0.8473901882953725
dolere	abbronzarsi	1.1128016544329484
sgocciolare	friggere	1.2953200991103326
mirare	sviluppare	0.8389671798021767
essere	affamare	1.0807969814393619
imitare	annebbiare	0.9453186016162123
preoccupare	attirare	0.8948844000835985
soffocare	toccare	1.3180104200307003
sorvegliare	eccellere	0.9643362620015855
rilassare	generare	1.1170712069749023
lavare	congelare	1.0976796977572851
spaccare	implodere	1.0388816945325574
lampeggiare	svanire	0.9994730932992143
controllare	faticare	1.0644699195843614
schiaffeggiare	premere	1.0579172332964797
accelerare	ritardare	1.263758366961224
mostrare	dare un'occhiata	1.029739863497472
grigliare	scongelare	1.059083557219476
vomitare	svegliare	1.0985851232479358
sventare	osare	1.1643009905650692
succhiare	tossire	0.9803416146220427
guarire	masticare	1.0728538688907636
picchiettare	combattere	1.1241582432624464
fronteggiare	trionfare	0.5762034234329877
faticare	esercitarsi	0.6196219313283647
osservare	travestire	1.2838861350492108
esercitarsi	rischiare	0.9216495836326822
strofinare	pungere	0.9969581029591225
respirare	vivere	0.7488502853325358
riapparire	imitare	0.9162048478466663
lavorare	conquistare	1.019684466654591
riuscire	fallire	1.1881455446734377
superare	dirigere	0.9398511023943317
combattere	soffocare	0.8633958549670773
battere	spingere	0.7478640376077874
ferire	pizzicare	0.8265780936484641
aggredire	ferire	0.41698434643294713
lavorare	dirigere	0.6372303267015514
annegare	tremare	0.6802303469336155
ascoltare	risultare	1.1909172823602332
trionfare	azzardare	0.9239555224387866
sorvegliare	eseguire	0.8626539319442433
eccellere	gestire	0.9422824648009123
nutrire	esistere	0.7840193404273335
rilassare	tremare	0.8932923130321883
maneggiare	dominare	0.9350824797386219
succedere	risplendere	0.8947785767878645
essere	pisolare	1.2293011615068574
scolare	grigliare	1.1196601262616885
assalire	uccidere	0.5929392819236423
agognare	sopportare	0.9212457320261964
sconfiggere	controllare	1.043582386803862
sbaffare	estinguere	1.282069122063141
cedere	vincere	1.5785610349988166
calciare	combattere	0.6605599422033338
dedicare	operare	0.9646116722019903
esalare	dormicchiare	0.899359884150135
impersonare	annusare	1.1679704497589871
realizzare	maneggiare	0.6542743308747149
lenire	vivere	0.6975895285177985
sventare	finire	0.7576080384613604
dolere	morire	0.5158566659639775
sperare	irritare	1.155002612555404
meravigliare	inferocire	1.3089580542483727
starnutire	svegliare	0.9671480205553945
combattere	aggredire	0.45619042080108946
seccare	sgomentare	0.840779165251041
fronteggiare	gestire	1.0426160150781951
trovare	succedere	1.0529299751848842
lampeggiare	ispezionare	0.9413936185180408
sperare	volere	0.6044842256773
abbracciare	sculacciare	1.1298634907392253
pugnalare	battere	0.8416933814848285
operare	controllare	0.5296390001584176
uccidere	coccolare	1.4454548126647215
spingere	stringere	0.8679117813393163
tritare	stufare	1.0939150657808374
tremare	sorseggiare	1.20634290104758
azzardare	dirigere	1.2152415879420448
fumare	deglutire	1.0603164277576507
impersonare	trovare	1.06117717107646
faticare	praticare	1.0276149598166033
friggere	tritare	1.0710123100522337
fumare	sopravvivere	0.7777194923120485
sfiorare	strappare	1.1354236252579577
lampeggiare	annusare	0.9723213795718996
lacerare	mordere	0.8725208130615477
soffiare	fumare	0.493576344420849
morire	tossire	0.7664808272546929
assalire	premere	0.9561753858621911
fumare	annegare	0.6563636441665364
perforare	mordere	1.0854981862233148
fumare	nutrire	1.054931937647826
sbiadire	ascoltare	1.2415830552859115
bollire	spennare	1.3907274680380866
strofinare	lacerare	1.2233405767217118
osservare	scomparire	1.2174920265588312
soverchiare	prosperare	0.9702480338165743
sfiorare	abbracciare	0.7698081139753997
compiere	recitare	0.7450871960951665
spingere	mordere	1.0282248936741267
battere	spremere	0.9270983021356102
svegliare	affamare	1.3268951915631697
toccare	lacerare	1.2081383061007664
