Word1	Word2	Score
変える	減じる	1.0843824354344571
曲げる	進める	0.9180712986741097
崩壊させる	消える	0.7210480313226723
曲げる	広がる	1.1566124106805873
卒業する	異なる	0.9499054438661192
影響する	更新する	0.7746579900250835
更新する	終わる	0.9412969949129096
粉砕する	開始する	1.1956019589139044
減じる	終わる	0.8213458202691075
再生する	終わる	1.3820509431022368
卒業する	成る	0.6856138499065229
進める	減少する	1.2071154860986186
減じる	成長する	1.093145056175924
遅らせる	悪化する	1.123900084384279
卒業する	悪化する	1.0382411887230354
元に戻す	広がる	1.006504412418454
始まる	消える	1.2898846504271946
減らす	成る	1.1510244332210253
割る	粉砕する	0.34943261766284006
拡大する	減じる	1.3426392495632973
向きを変える	粉砕する	0.9147809842733828
広がる	崩壊させる	1.2629821399314685
減少する	減らす	0.3192662885925093
粉砕する	塗る	0.9417048957246252
減らす	変える	1.0759211679583507
漂白する	広げる	0.9762881685831526
元に戻す	漂白する	0.8364920710335544
再生利用する	広がる	0.8261589311411954
粉砕する	影響する	0.7713627871648437
曲げる	異なる	0.6466962922208592
始まる	変える	1.0212620924395888
粉砕する	変える	1.220820877187882
日焼けさせる	割る	0.7634722755368698
塗る	広がる	0.88693420313713
向きを変える	広がる	0.909929493835129
崩壊させる	拡大する	1.2540513441625238
卒業する	再生する	1.086242631817595
崩壊させる	加速する	1.139507317247121
減少する	開始する	1.2320133014532764
減じる	遅らせる	0.9525308270641598
消える	漂白する	0.9698361809933193
更新する	塗る	0.8446706626045809
遅らせる	崩壊させる	0.8711044357057296
始まる	異なる	1.0004349758076245
成長する	漂白する	0.8258960194137659
押し上げる	卒業する	0.787927396369592
休止する	影響する	1.0617010107917118
掛ける	始まる	0.9937433992753676
開始する	引き離す	1.2714671521575773
進める	引き離す	1.1781267690560107
広げる	日焼けさせる	0.8275981420914003
広げる	再生利用する	0.8801875110210099
磨く	延期する	0.9486541164652893
飾る	崩壊させる	1.066185598311301
降格する	塗る	1.0478774299730782
広げる	飾る	1.015041135505566
割る	控える	0.8574063774711792
降格する	再生する	1.260406010996133
押し上げる	向きを変える	0.9933323233768964
減らす	変わる	1.070982138947415
影響する	漂白する	0.8811306582506261
飾る	影響する	0.9503785000827151
加速する	影響する	0.9442886695207615
割る	変える	1.1067022921944951
延期する	減少する	0.8899077843562088
拡大する	曲げる	1.1577315606300622
曲げる	再生する	1.0065958299860127
成る	粉砕する	1.1504039591015127
成る	始まる	1.0632380140294406
遅らせる	終わる	1.0391364869501258
異なる	減らす	0.9284749647070359
異なる	減少する	0.9986623996174987
日焼けさせる	始まる	0.7879393249607111
延期する	減らす	0.860953635051954
拡大する	塗る	1.0042324502977096
漂白する	悪化する	1.060882603661189
減らす	磨く	0.9584597548585737
減らす	拡大する	1.3474594943318534
取って代わる	遅らせる	0.9410914653360231
元に戻す	崩壊させる	1.0030736479801632
消える	控える	0.7123757141045368
塗る	成る	0.8300998057291976
磨く	異なる	0.6667568108889997
粉砕する	日焼けさせる	0.8555492061997514
再生利用する	粉砕する	1.2177998175459845
遅らせる	押し上げる	1.2504233166394865
曲げる	変える	0.7749590125133976
延期する	元に戻す	0.857630904977238
広がる	押し上げる	0.7367736372521031
引き離す	成長する	1.1235149960117126
飾る	休止する	0.9414903602746936
成る	拡大する	0.6961765425734322
取って代わる	消える	1.323671032548148
成る	異なる	0.9341629073322201
押し上げる	始める	1.0960570088474428
割る	引き離す	0.7614248601777295
腐敗する	押し上げる	1.2779217869897783
控える	漂白する	0.8831217257990344
消える	成長する	1.2423046599161238
塗る	減らす	1.0562089594811466
元に戻す	成る	0.8629349262990476
開始する	終わる	1.4597264651645985
再生利用する	掛ける	0.9122175386289044
再生利用する	卒業する	1.0308881479538552
卒業する	広がる	1.127126621726229
引き離す	控える	0.9208146378895274
向きを変える	影響する	0.9206851684207927
始める	崩壊させる	1.2410816441613337
変える	広がる	0.8066632036711416
降格する	減じる	0.639146151624617
控える	崩壊させる	0.7858247281849573
成る	広がる	0.7033606215579742
遅らせる	加速する	1.1047827005237663
割る	拡大する	1.201570830043101
飾る	変える	0.9635450606967805
減少する	控える	0.7458050724263239
加速する	日焼けさせる	0.7538176183630172
再生利用する	悪化する	1.3280869692698527
卒業する	加速する	1.0480923935756783
休止する	控える	0.7248116076495578
磨く	成長する	0.7248358772338876
変わる	始める	1.0233212073742048
成る	漂白する	0.8306580622509313
休止する	変える	1.015386770228488
押し上げる	延期する	1.2013762844744962
向きを変える	元に戻す	1.0058437623320466
取って代わる	影響する	0.7992488821080351
引き離す	延期する	1.2283558779657593
引き離す	飾る	0.9033499555180179
更新する	腐敗する	1.071091612705267
