abduct	誘拐する
abstain	控える
abuse	乱用する
accelerate	加速する
accept	受け入れる
accomplish	成し遂げる
accumulate	蓄積する
accuse	責める
ache	痛む
achieve	成し遂げる
acknowledge	認める
acquire	得る
acquit	放免する
add	加える
address	演説する
adjourn	延期する
admire	感嘆する
admit	認める
adopt	採用する
adore	崇拝する
adorn	飾る
advance	進める
advise	助言する
affect	影響する
aggravate	悪化させる
agree	同意する
aid	助ける
aim	狙う
allow	許す
alter	変える
amaze	びっくりさせる
amuse	楽しませる
analyze	分析する
angle	曲げる
annihilate	全滅させる
announce	発表する
annoy	悩ます
appear	現れる
apply	適用する
approach	近づく
approve	承認する
argue	議論する
arrest	逮捕する
arrive	到着する
ascend	登る
ask	尋ねる
assault	襲撃する
assist	助ける
associate	関連づける
assume	仮定する
attach	取り付ける
attack	攻撃する
attempt	試みる
attend	出席する
attract	引き付ける
avoid	避ける
awake	起こす
award	授与する
bake	焼く
ban	禁止する
bargain	値切る
barter	交換する
be1	いる
be2	ある
bear	運ぶ
beat	叩く
become	成る
beg	請う
begin1	始まる
begin2	始める
believe	信じる
belong	属する
bend	曲げる
bet	賭ける
betray	裏切る
beware	用心する
bias	偏らせる
bite	噛む
blame	非難する
bleach	漂白する
blend	混合する
bless	祝福する
block	塞ぐ
blow	吹く
bluff	騙す
blur	ぼやけさせる
blush	赤面する
boil	沸かす
boom	景気づく
boost	押し上げる
borrow	借りる
bother	悩ます
bounce	弾む
bound	跳ぶ
bow	お辞儀する
break	壊す
breathe	呼吸する
breed	産む
bring	持って来る
broil	焼く
brush	磨く
build	建てる
bumble	しくじる
bump	ぶつかる
burn	燃える
burst	爆発する
bury	埋める
buy	買う
buzz	唸る
calculate	計算する
call	呼ぶ
capitulate	降伏する
capture	捕える
care	気にする
carry	運ぶ
cast	投げる
catch	捕まえる
celebrate	祝う
certify	証明する
change	変える
charge	課す
chase	追う
cheat	だます
chew	噛む
chirp	囀る
choke	窒息させる
choose	選ぶ
chop	叩き切る
chuck	投げる
claim	主張する
clarify	明らかにする
clench	掴む
climb	登る
collaborate	協力する
collect	集める
color	塗る
combine	結合する
come	来る
comfort	慰める
command	命令する
commit	犯す
communicate	伝える
compete	競争する
complain	不満を言う
compose	構成する
compound	調合する
comprehend	理解する
compute	計算する
concentrate	集中する
concern	関係する
concur	同意する
condemn	咎める
confess	自白する
confuse	混同する
connect	繋ぐ
conquer	征服する
console	慰める
conspire	企む
construct	組み立てる
control	統制する
convince	納得させる
cook	料理する
cooperate	協力する
cope	処理する
correct	訂正する
corrupt	堕落させる
cough	咳をする
count	数える
cover	覆う
crack	割る
crackle	パチパチと鳴らす
crash	衝突する
crave	懇願する
crawl	はう
create	創造する
criticize	批評する
croak	ガーガーと鳴く
crochet	かぎ針で編む
cruise	巡行する
crunch	ガリガリと噛む
crush	押し潰す
cry	泣く
cuddle	寄り添う
damn	非難する
dance	踊る
dare	挑む
dash	突進する
deal	扱う
debate	討論する
decay	腐敗する
deceive	騙す
decide	決める
decline	断る
decompose	分解する
decorate	飾る
decrease	減少する
dedicate	捧げる
defeat	負かす
defend	防御する
define	定義する
defrost	解凍する
degrade	降格する
delay	遅らせる
deliver	配達する
demand	要求する
demolish	破壊する
deny	否定する
depart	出発する
depend	頼る
deposit	預ける
descend	下りる
describe	描写する
design	設計する
desire	望む
despair	絶望する
despise	軽蔑する
destroy	破壊する
detach	引き離す
deteriorate	悪化する
determine	決定する
develop	発達させる
devote	捧げる
die	死ぬ
differ	異なる
dig	掘る
diminish	減らす
dip	浸す
direct	指図する
disagree	意見が合わない
disallow	許さない
disappear	消える
disappoint	失望させる
disbelieve	信じない
discharge	降ろす
discourage	がっかりさせる
discover	発見する
discuss	議論する
disguise	変装する
disgust	むかつかせる
disintegrate	崩壊させる
dislike	嫌う
dismay	狼狽させる
dismiss	解散させる
disown	関係を否定する
disperse	散らす
dispose	配置する
disprove	反証を挙げる
disregard	無視する
dissolve1	溶ける
dissolve2	溶かす
