abduct	uprowadzić
abstain	wstrzymać się
abuse	nadużywać
accelerate	przyśpieszyć
accept	akceptować
accomplish	dokonać
accumulate	akumulować
accuse	oskarżać
ache	boleć
achieve	osiągnąć
acknowledge	uznać
acquire	nabyć
acquit	uniewinnić
add	dodać
address	zwracać się
adjourn	udawać się
admire	podziwiać
admit	przyznać
adopt	przyjąć
adore	uwielbiać
adorn	zdobić
advance	postępować
advise	doradzać
affect	oddziaływać
aggravate1	pogorszyć
aggravate2	drażnić
agree	zgadzać się
aid	wspomagać
aim	dążyć
allow	dopuszczać
alter	modyfikować
amaze	zdumiewać
amuse	rozbawić
analyze	analizować
angle	nachylać
annihilate	unicestwić
announce	ogłosić
annoy	denerwować
appear	zjawić się
apply	zastosować
approach	podchodzić
approve	aprobować
argue	kłócić się
arrest	aresztować
arrive	przybyć
ascend	wznieść się
ask	pytać
assault	napadać
assist	wspierać
associate	kojarzyć
assume	zakładać 
attach	przyczepiać
attack	atakować
attempt	spróbować
attend	uczęszczać
attract	pociągać
avoid	unikać
awake	obudzić
award	nagradzać
bake	piec
ban	zakazać
bargain	targować się
barter	przehandlować
be	być
bear	znosić
beat	bić
become	stawać się
beg	błagać
begin	rozpoczynać
believe	uwierzyć
belong	należeć
bend	wyginać
bet	zakładać się
betray	zdradzać
beware	strzec się
bias	mieć wpływ
bite	gryźć
blame	winić
bleach	wybielić
blend	zmieszać
bless	błogosławić
block	blokować
blow	wiać
bluff	blefować
blur	zacierać
blush	rumienić się
boil	zagotować
boom	grzmieć
boost	stymulować
borrow	pożyczać
bother	fatygować
bounce1	odbić
bounce2	odbić się
bound	drałować
bow	kłaniać się
break	złamać
breathe	oddychać
breed1	hodować
breed2	rozmnażać się
bring	przynieść
broil	przypiekać
brush	szczotkować
build	budować
bumble1	bełkotać
bumble2	szamotać się
bump	zderzyć się
burn	spalić
burst	rozlecieć się
bury	zakopać
buy	kupować
buzz	brzęczeć
calculate	kalkulować
call	wołać
capitulate	kapitulować
capture	schwytać
care	troszczyć się
carry	nieść
cast	rzucić
catch	łapać
celebrate	świętować
certify	poświadczać
change	zmieniać
charge	pobierać
chase	gonić
cheat	oszukiwać
chew	żuć
chirp	ćwierkać
choke	dławić
choose	wybierać
chop	posiekać
chuck	ciskać
claim	twierdzić
clarify	wyjaśniać
clench	zaciskać
climb	wspinać się
collaborate	współpracować
collect	kolekcjonować
color	kolorować
combine	połączyć
come	przyjść
comfort	pokrzepiać
command	rozkazać
