Word1	Word2	Score
przypiekać	zagotować	0.436478503088763
przetrwać	kichać	1.1347626815365375
odtajać	odsączyć	1.0261862514117435
jeździć	przyjść	0.9793158892456801
tasować	złapać	1.2649794093009274
walnąć	przytulić	1.3099001110133175
pokroić	skubać	0.8808059559972945
liczyć	literować	0.742174369199177
błyskać	słuchać	1.1242117796242033
wyruszyć	spaść	1.174182562329692
przypiekać	popijać	1.1504335635766165
obalać	zaskoczyć	1.2043756250413418
postępować	włóczyć się	0.8900969060276491
wiać	biegać	0.7752457687612297
chwytać	rozlać	1.3748102963340747
zwiększać	wynikać	1.1255914422446318
utopić	ugasić	1.029587001901715
latać	jechać	0.7386119486641799
stracić	gromadzić	1.2290397965082733
przedstawić	obchodzić się	0.9635920124394579
udzielać	wyrzekać się	1.1269600599802054
integrować	unikać	1.0705173833053507
odejmować	definiować	0.8259360109137533
ciskać	obchodzić się	1.1546816868772198
uczyć	domniemywać	0.8838594485152592
płukać	ugasić	0.7935779771747632
złapać	odbić	0.9097731762674688
opakować	używać	1.0091453824714063
zaopatrywać	zachować	0.7904763058950192
dostać	dać	1.3168732846396953
wrzeszczeć	wystrzelić	1.1631816078584365
odbić	rozciągać	1.0686053330807335
prześladować	sprzeciwiać się	0.9598997623860892
uniewinnić	sprzeciwiać się	0.8006034567460666
przewyższać	rosnąć	0.6871741549100195
decydować	hipnotyzować	1.1591110884912454
piszczeć	śpiewać	0.6514966035820018
połączyć	rozebrać	1.2953467854745058
obrzucać	zabić	1.2166540394795116
handlować	nabyć	1.1645225684085816
popijać	spłukać	0.9371538886104198
utylizować	blaknąć	1.0512744569794683
uzurpować	uwalniać	1.264396910811155
holować	wycofać	0.9664813169148728
dyskutować	upraszać	1.0125534859804246
zderzyć się	blokować	0.7230796588666885
popełnić	winić	0.9674234666275207
obchodzić się	rzucać	1.2704230651921222
wspominać	wynikać	0.9148055373158113
posiekać	myć	1.276691290790492
pokroić	paść się	1.0110251164227588
smarować	nawinąć	1.1538476936641406
wybierać	obliczać	1.050172971104478
zawierać	modyfikować	1.1584426408256592
paść się	przemoczyć	1.0519328224841522
bronić	wystrzegać się	1.0372062092429517
pokonać	powtarzać	1.1988616013136353
definiować	wspominać	1.241579769365978
dokuczać	krytykować	0.8813483226937249
dotykać	policzkować	1.1303756104748632
stłuc	bić	0.8095885387553324
wysłać	usunąć	0.9479319835838952
naciskać	zamknąć	0.9654502736732857
pocierać	użądlić	0.93363875901332
pisać	zawierać	0.9373179974491918
limitować	zatrzymywać	0.750302361369354
drzemać	przysypiać	0.3759827730779976
oszczędzić	korumpować	1.1457682149869166
nieść	trzepotać	1.0466911329088955
pocieszać	użyczyć	0.986851070759616
ciskać	kapać	1.1281158741337396
ustalać	dezorientować	1.1614469078696792
brukać	zgładzić	1.146613479110065
uderzać	szczotkować	1.141972169045493
posiekać	odtajać	0.9975416546733038
zespalać	polerować	1.062241358825409
owinąć	wypuszczać	1.0046772426690604
trzeć	obrzucać	0.8545487386557098
zbić	szczotkować	1.3700247557543366
ciągnąć	wypuszczać	1.0079194894069619
huśtać się	pływać	0.9236211719694843
osiąść	skoczyć	0.9073883657323623
korumpować	oskarżać	0.9332890910811655
osiągnąć	robić	1.0349387767643796
rozpraszać się	umykać	0.7498015808078221
odurzyć	ukarać	0.9724027672273762
pozdrawiać	przerywać	1.0944282810645545
udowodnić	liczyć się	1.0846925652713346
błądzić	odbić się	1.322207386812783
uaktualniać	podbić	1.0192449532068018
wytężać	wydychać	0.8273050817210739
kichać	wypacać	1.0733840877100673
napadać	ewakuować	1.1083921903099287
zabić	poddać się	1.0216426789050428
obalać	badać	0.9632019645004638
wycierać	poklepać	0.841962556395812
uwierzyć	pamiętać	1.0175261864638732
rozpuszczać	paść się	1.154828488245702
przyznać	upraszać	0.8845499843123789
przelewać się	rozpoczynać	1.0668080330128706
karmić	myć	1.0735807448321022
śledzić	spadać	0.7022452744704143
przypiekać	posiekać	0.8972725478702495
naciskać	wycierać	0.9134763960224713
szamotać się	szybować	0.9121967016777772
wycierać	dźgnąć	0.9872805321360177
naśladować	doglądać	1.0107629284610415
podrzucać	dzielić	0.9595374071317175
zabić	porwać	0.7585650199325776
płukać	przypiekać	1.2540731455038734
pojmować	strzec się	1.0035857851109964
leczyć	przedstawić	1.0357528866985894
rozdawać	rozciągać	0.8439402732282153
szarpać	walczyć	0.8207445952999031
drżeć	zwichnąć	0.8670684005353403
poreperować	wyginać	0.9159625884364443
zgadnąć	liczyć się	1.0819651042140004
projektować	tkać	0.8295820978465227
chwytać	rozerwać	1.0207350720130326
osiągnąć	wykorzystać	1.17202501454885
przechodzić	odbić się	1.2641369005793393
uderzać	szarpać	0.8251214243047407
przypuszczać	zaskoczyć	1.292017346368535
kooperować	odwiedzać	1.0086030734392053
podrzucać	sięgać	0.8076385497356429
nachylać	zaciągnąć	0.9609857338930622
zbić	pchać	0.8917107782873175
schodzić	czołgać się	1.0327797461190324
unikać	spiskować	0.9652118267848603
debatować	protestować	0.9824711772915199
odbić	zaciągnąć	0.9449417413235168
aprobować	cieszyć się	0.9914474717136375
kooperować	liczyć się	0.7731438196875997
pozwolić	blokować	1.1015877410497248
przesunąć	jechać	1.0457152717232783
wyzdrowieć	ziewać	1.1435445001902562
tworzyć	prosperować	0.9457708537833504
trzeć	grillować	0.8371320223149556
powąchać	tonąć	0.9944397429601073
sunąć	przyjść	1.042542963681634
oddychać	palić	0.8202199809211463
kształcić	kalkulować	0.7988199803217771
popychać	polować	1.1356532368815244
ukończyć	zarządzać	1.2371813471199182
napadać	eksmitować	1.064364397300712
przykryć	wyładować	1.014784430939026
objąć	pokonać	1.3411795495675747
wytłumaczyć	wynikać	1.0056130184530219
gryźć	przypiekać	0.8095101767423956
zaskarżyć	uprowadzić	0.882948072544271
opisać	nadmienić	1.1325910616415484
kopnąć	zmiażdżyć	0.8980128486443817
maczać	szarpać	1.109341963218553
czołgać się	przekraczać	1.1230155452961192
fatygować	zdradzać	1.331831443845887
odejść	schodzić	0.8502873290421595
ugasić	smarować	1.0782565422642643
uwierzyć	uświadomić sobie	1.2472851904804083
złapać	wycofać	1.05943372996171
obezwładniać	policzkować	0.8974376963617592
doglądać	przedstawić	0.9701870483976217
potwierdzać	wyjaśniać	0.8353997184833429
wiedzieć	zamierzać	1.1052769629184258
tęsknić	irytować	1.1315977465306037
zatrzymywać	strzec się	0.9799112312188102
palić	przemoczyć	1.1317951806463156
mieć	zatrzymać	0.7350558839309188
przewracać	łopotać	0.9089381579742147
wypuszczać	holować	0.8128801918925613
liczyć	formułować	0.742008289828949
mieć wpływ	chronić	1.0464791863263458
zdarzyć się	obniżać	1.1017851827688618
twierdzić	szeptać	0.9282653505632595
ukarać	zrzekać się	0.8250056707743678
powieść się	uczęszczać	0.872261195770641
udaremnić	zastosować	1.1848223608729576
ukrywać	rzucać	1.0593293843532388
odejmować	uczyć	0.8016009637423939
stronić	dopuszczać	1.059074715210812
dotyczyć	znaczyć	0.9778768474794488
udzielać	eksmitować	1.077036331454653
oszukiwać	blefować	0.49479101243819457
wyjechać	pozostawać	1.0901700362198108
miotać	trzepotać	0.7554434273907984
odwracać	trząść	0.8859022641957569
obrabować	ograniczać	0.9651347481773135
polować	rozerwać	1.082249976094977
żałować	odmawiać	0.8561787989392793
oszukiwać	kłócić się	1.0089005434472733
łopotać	kapać	1.1057450411818204
zwracać się	wydzierać się	1.140255957041721
wlać	skubać	1.080543022257101
nieść	przykryć	0.8751297981497593
zaskoczyć	ignorować	1.098378774952337
kontrolować	ryzykować	1.0361563221734327
zdobyć	spróbować	1.0516160415188427
zginąć	zepsuć	1.1238055106846594
wybierać	formułować	1.0207520249659676
integrować	ratować	1.1726608758257904
wspinać się	podróżować	0.8310808355159769
chodzić	szamotać się	0.7818502755641542
przybyć	skręcać	0.8946028480917789
latać	nurkować	1.2457136594810312
powtarzać	komunikować się	0.9939210361738641
pokrzepiać	słuchać się	1.0035020716414196
utylizować	rozlecieć się	0.9419544240182511
zarabiać	udzielać	1.0317223170459637
tłumić	potępiać	0.7140226180453593
zaprzeczać	nadmienić	1.0242929274372004
uzasadniać	liczyć się	1.0235725039076673
sprzeciwiać się	oddziaływać	0.7203011748140024
tęsknić	kłócić się	1.4439373742247166
pociągnąć	smarować	1.1291156384976904
kłamać	przejmować	1.4297388757595986
unieważnić	buntować się	0.9171072051787865
rozlać	trzeć	1.2418616979561221
wypacać	głodować	1.0185446163714302
ściskać	rozerwać	1.0813551321280714
przerywać	ogłosić	1.0378110859518181
zniechęcać	zdenerwować	1.1469190823370097
zepsuć	blaknąć	0.9864283591556819
narzekać	wyznać	0.9963809023900043
korygować	wynikać	1.0091437682791378
zwiększać	zaczynać	0.9080032932828822
wlać	spłukać	0.8400489623375627
rysować	szydełkować	0.8837604691794608
miotać	pchać	0.673544757004243
wycofać	ciągnąć	1.1907844716772757
blefować	drażnić	0.7931170114995201
uzasadniać	ignorować	1.2151229339984813
używać	rozciągać	1.093892168662863
przetrwać	wąchać	1.018179762176186
kołysać się	drałować	0.819455484363754
kłuć	policzkować	0.9181945837499232
rozpraszać się	przesunąć	0.9659386640130263
doglądać	jednoczyć	0.9685617096199601
uwielbiać	mieć nadzieję	1.349806463601602
wznieść się	skradać się	1.0337216814523449
zniechęcać	wyrzekać się	1.127458471010366
usunąć	stłuc	0.8696934159132118
odbić się	zatrzymywać się	0.9762241312886063
kopać	brać	1.0553676054024825
marnować	śmiecić	0.9314678330229778
