Word1	Word2	Score
从事	通过	0.8650892148968005
指导	庆祝	1.0931880059388366
运作	教授	0.7951156430406534
承担	战胜	1.030159633563426
实现	联合	0.9943138047478939
涉及	确保	1.162080037788171
讨人喜欢	成功	0.8955651978218064
合作	依赖	1.0521273653802823
促进	利用	0.9135268616977787
促进	解决	1.0190010999238674
领导	获得胜利	0.9286216101599896
获得	控制	1.0337861426629906
拼写	获得胜利	1.1069103748610216
奋斗	讨人喜欢	0.9172776333306173
克服	派遣	1.1186733580271648
部署	促进	1.0668020009682158
应用	拼写	0.9568571952078864
毕业	参与	1.0264681609545572
部署	生产	1.0633545322499907
领导	克服	0.8960275780793597
讨人喜欢	申请	1.169869906554077
介绍	部署	1.135009581116349
依赖	牵涉	1.0824761874538051
通过	目的在于	0.923640277056869
涉及	取代	1.0137365405702055
运作	击败	0.9680012961932849
开发	采取	1.1957540519573524
准备	核实	0.8720167424049038
取代	获胜	1.1913366722693588
教育	练习	0.6708514680906247
部署	需要	1.025104799323591
控制	运作	0.9532747534382264
派遣	管理	0.9054587553776187
促进	承认	1.2395612958216653
获得	管理	1.0257238943871108
部署	练习	1.0020609621614827
学习	辛苦劳作	0.8172715374685319
克服	毕业	0.8560376898359688
运作	讨人喜欢	1.1056306952694706
应用	涉及	1.2401873012647533
竞争	合作	1.1683358731712548
介绍	辛苦劳作	1.2279357321741855
整合	讨论	1.0320717442791623
目的在于	授予	1.047829255584201
获胜	克服	0.7765108905504419
采取	战胜	1.303160458757873
取代	获得	1.0832960529914457
吹风	战胜	1.2230201417072686
拼写	增进	1.0180869332822882
吹风	确保	0.9500570335932815
获得胜利	依赖	1.413827682777477
申请	承认	1.0988780481422606
竞争	核实	0.9234127465498391
申请	教授	0.7388687028509326
解决	毕业	0.8211379556940549
兴旺	促进	1.0631352511412722
承认	奋斗	1.0926000217271425
应用	派遣	1.1196812452292513
繁荣	招聘	1.0903576080680455
繁荣	讨人喜欢	0.6165825725706967
满足	从事	1.0176351722110026
组织	取代	0.9004322124660505
准备	申请	1.0628089017428644
从事	生产	0.6904465796029825
承担	克服	1.1337788530682904
承认	涉及	1.3133327101901546
取代	承担	0.7579642648947255
目的在于	讨论	1.0621079675564173
准备	讨人喜欢	0.8884832890307794
击败	兴旺	0.8707578727825307
奋斗	生产	0.7745354199624466
促进	依赖	1.164442230114034
掌握	致力于	0.9316882829525155
获得胜利	使合理化	0.6694771896807867
解释	工作	1.0946057331980779
实现	准备	0.9802499188184195
目的在于	奋斗	0.9447991166551738
辛苦劳作	奋斗	0.8048868326958307
依赖	处理	0.8178214576885899
承认	核实	0.979201206487678
合作	利用	1.1640278845983383
拼写	派遣	1.0674965410851114
使合理化	控制	1.0307380306896803
通过	学习	1.0174189995114422
注册	竞争	1.022526379754092
目的在于	战胜	0.9164842747611791
掌握	辛苦劳作	1.1259086707684973
学习	战胜	0.7708743318507667
促进	庆祝	1.0837998277400829
需要	奋斗	0.9742946594914639
组织	成为	1.0856413706617072
解决	注册	0.9906028714964886
成为	牵涉	1.0720106247379542
克服	牵涉	1.1661323816840892
竞争	获得胜利	1.2624814823966737
领导	练习	0.819737836117182
联合	承担	0.9829605053866934
致力于	涉及	1.0565530818726867
使合理化	实现	0.8751949397834359
采取	应用	1.1604489449542517
评估	处理	0.9853736607135999
生产	庆祝	1.0107913590225697
确保	拼写	0.9453358283997845
承担	整合	0.9139098015263599
满足	致力于	0.9741219202569067
准备	获得	1.0288987621761458
申请	从事	0.7653479866177314
领导	指导	1.034785603790181
奋斗	尝试	1.0678305014128238
获得胜利	处理	1.1263510813869884
派遣	准备	1.128913854354443
教育	尝试	1.12827316591883
取代	合作	0.9553205683128179
兴旺	运作	1.058748496776363
领导	联合	0.95002459095144
庆祝	目的在于	0.6933425670102406
依赖	核实	0.8710533629504493
领导	取代	1.0594624927450504
通过	申请	0.8349511538294105
承担	管理	0.8415500426320399
涉及	需要	0.7876887508848868
注册	利用	0.9875372925369532
确保	获得胜利	1.210480059882263
实现	毕业	0.8629292191353902
处理	承担	0.9687551125640224
联合	生产	1.039121569677813
涉及	控制	0.8908465995506555
部署	取代	0.9903999702980045
牵涉	生产	1.0691519808671284
处理	满足	1.0383027187491447
获得胜利	战胜	0.44141700167789066
尝试	申请	1.0086583262901354
参与	成功	1.2373660610532349
实现	涉及	1.349876876710152
使合理化	整合	1.2301508095450868
处理	辛苦劳作	0.8519213903506438
庆祝	合作	1.1956514844958641
领导	庆祝	0.6088110891646816
从事	目的在于	0.9333244344194515
教授	教育	0.5384014538498428
通过	应用	0.8948378930089381
组织	授予	0.695190877936806
从事	拼写	1.052164629036627
确保	领导	1.0775139830169351
开发	获得	0.9566567099823241
从事	学习	0.7251679779041124
依赖	整合	1.1972886952495403
合作	承认	1.3324710571601872
获得胜利	运作	1.045296047733695
管理	竞争	1.152263983392061
准备	解决	1.1176700120977792
战胜	致力于	0.8836405870017497
应用	满足	0.9239465118618087
介绍	克服	1.1357218373987858
组织	实现	1.160413813596866
讨人喜欢	处理	1.0704598730136643
击败	开发	0.9079462652736798
解决	依赖	0.9400791343006418
繁荣	使合理化	0.9468725433871703
联合	指导	0.8235997704492934
生产	评估	0.8642439458449638
应用	成为	1.0696097502263382
获胜	辛苦劳作	0.8690780034038937
开发	目的在于	0.964211650153213
