abduct	劫持
abstain1	自制
abstain2	避免
abuse1	虐待
abuse2	滥用
accelerate	加速
accept	接受
accomplish	实现
accumulate	累积
accuse	控告
ache	疼痛
achieve	获得
acknowledge1	承认
acknowledge2	答谢
acquire	获得
acquit1	清偿
acquit2	无罪释放
add	增加
address1	处理
address2	演讲
adjourn	推迟
admire	钦佩
admit	承认
adopt1	采取
adopt2	领养
adore	爱慕
adorn	装饰
advance	增进
advise	建议
affect	影响
aggravate	加重
agree	同意
aid	援助
aim	目的在于
allow	允许
alter	改变
amaze	使吃惊
amuse	娱乐
analyze	分析
angle1	钓鱼
angle2	谋取
annihilate	毁灭
announce	宣布
annoy	惹恼
appear	出现
apply1	申请
apply2	应用
approach1	接近
approach2	处理
approve	批准
argue	争论
arrest	逮捕
arrive	到达
ascend	上升
ask	询问
assault	攻击
assist	帮助
associate	联想
assume	假设
attach	依附
attack	攻击
attempt	尝试
attend	出席
attract	吸引
avoid	避免
awake	唤醒
award	授予
bake	烘培
ban	禁止
bargain	议价
barter	物物交换
be1	是
be2	存在
be3	有
bear	忍受
beat	打败
become	成为
beg	乞讨
begin	开始
believe	相信
belong	属于
bend	弯曲
bet	打赌
betray	背叛
beware	注意
bias	使存偏见
bite	咬
blame	责备
bleach	漂白
blend	混合
bless	保佑
block	阻塞
blow	吹风
bluff	吓唬
blur	模糊
blush	脸红
boil	煮沸
boom	兴旺
boost	促进
borrow	借用
bother	打扰
bounce	弹跳
bound1	使跳跃
bound2	束缚
bow	鞠躬
break	打破
breathe	呼吸
breed	繁殖
bring	带来
broil	炙烤
brush	刷
build	构建
bumble1	踉跄
bumble2	结巴
bumble3	犯错
bump	颠簸
burn	燃烧
burst	爆发
bury	埋葬
buy	购买
buzz	嗡嗡作响
calculate	计算
call	呼叫
capitulate	投降
capture	捕捉
care	关心
carry	携带
cast	抛
catch	抓住
celebrate	庆祝
certify	证明
change	改变
charge1	充电
charge2	控告
chase	追赶
cheat	欺骗
chew	咀嚼
chirp	吱喳而鸣
choke	窒息
choose	选择
chop	剁碎
chuck	丢弃
claim	声称
clarify	澄清
clench	紧握
climb	攀爬
collaborate	合作
collect	收集
color	粉饰
